Employee_ID,Gender,Age,Department,Education,Marital_Status,City,Work_Mode,Job_Role,Experience,Salary,Performance_Score
E073,Female,44,IT,UG,Single,Chennai,Remote,Analyst,14,97651,5
E074,Male,53,HR,PhD,Single,Coimbatore,Onsite,Developer,20,101793,9
E075,Female,42,Finance,PG,Single,Coimbatore,Onsite,Engineer,17,128086,6
E076,Female,45,Marketing,PhD,Single,Salem,Hybrid,Engineer,12,101438,9
E077,Female,30,IT,PG,Single,Trichy,Remote,Consultant,10,63440,5
E078,Male,40,Marketing,PG,Single,Coimbatore,Onsite,Manager,6,63667,6
E079,Female,32,Operations,PhD,Single,Chennai,Remote,Analyst,2,31353,10
E080,Male,24,IT,PhD,Single,Salem,Remote,Manager,1,29195,6
E081,Male,40,Operations,PG,Married,Trichy,Remote,Analyst,5,41394,4
E082,Female,53,IT,UG,Single,Madurai,Remote,Developer,19,145601,4
E083,Male,41,IT,UG,Married,Coimbatore,Remote,Developer,12,77728,10
E084,Female,43,Operations,UG,Married,Chennai,Hybrid,Manager,20,77287,6
E085,Female,40,Marketing,PG,Married,Madurai,Remote,Consultant,6,60368,4
E086,Female,55,Finance,PG,Married,Trichy,Remote,Analyst,20,87866,9
E087,Female,33,HR,UG,Single,Madurai,Remote,Analyst,2,34223,5
E088,Female,38,HR,PhD,Single,Trichy,Remote,Consultant,4,45744,4
E089,Male,43,Marketing,PG,Single,Coimbatore,Hybrid,Engineer,15,98992,7
E090,Male,30,Marketing,UG,Single,Salem,Onsite,Manager,8,70669,5
E091,Male,33,HR,PG,Single,Trichy,Onsite,Manager,5,52244,9
E092,Male,44,IT,UG,Married,Chennai,Onsite,Engineer,15,95250,8
E093,Male,27,Marketing,UG,Single,Trichy,Remote,Engineer,5,60380,6
E094,Female,48,Operations,PG,Single,Coimbatore,Remote,Analyst,14,101215,9
E095,Female,38,Finance,UG,Married,Chennai,Hybrid,Engineer,5,58414,5
E096,Female,29,HR,PG,Single,Madurai,Onsite,Developer,4,55734,7
E097,Female,31,Operations,PhD,Married,Trichy,Remote,Engineer,1,30385,9
E098,Male,38,Marketing,PG,Single,Coimbatore,Hybrid,Consultant,11,93723,8
E099,Female,45,HR,UG,Married,Madurai,Onsite,Analyst,10,62956,10
E100,Male,29,HR,PhD,Single,Chennai,Remote,Developer,3,41604,8
